,user,enrolled,predicted_reach
0,239786,1,1
1,279644,1,1
2,98290,0,0
3,170150,1,1
4,237568,1,1
5,65042,1,0
6,207226,1,1
7,363062,0,0
8,152296,1,1
9,64484,0,0
10,38108,1,1
11,359940,0,0
12,136089,0,0
13,14231,1,1
14,216038,0,0
15,18918,1,1
16,316730,1,1
17,28308,1,0
18,228387,1,0
19,69640,1,1
20,358264,0,0
21,348059,0,0
22,178743,1,1
23,167556,0,0
24,294101,0,0
25,192801,0,1
26,163983,1,1
27,298830,0,0
28,151790,1,1
29,20200,1,1
30,286678,1,1
31,329775,0,0
32,116814,1,0
33,83039,1,0
34,154510,0,0
35,20373,0,0
36,67506,1,1
37,187707,1,1
38,178087,0,1
39,292933,1,1
40,91037,0,1
41,211226,0,0
42,259560,1,1
43,189180,0,1
44,9137,0,0
45,337458,1,1
46,190667,0,1
47,371267,1,0
48,223348,0,1
49,191295,0,0
50,323703,0,0
51,276739,0,0
52,210837,0,0
53,64190,0,0
54,90073,1,1
55,165549,0,0
56,278010,1,1
57,173992,0,0
58,72269,1,1
59,154100,0,0
60,148100,0,0
61,139112,1,1
62,318259,0,0
63,287637,1,0
64,59267,0,0
65,363851,0,0
66,34837,1,0
67,294710,1,1
68,279724,0,0
69,202834,1,1
70,196560,0,0
71,31446,1,1
72,225230,1,0
73,355238,0,0
74,132524,1,0
75,92074,0,0
76,104781,0,0
77,275943,0,0
78,161758,1,0
79,60317,1,1
80,351868,1,1
81,174747,0,0
82,26899,1,1
83,83979,1,0
84,33061,1,1
85,6795,0,0
86,337416,0,0
87,113573,1,0
88,246438,0,1
89,211813,1,1
90,270344,1,1
91,242074,1,1
92,9491,0,0
93,270991,0,0
94,317052,0,0
95,340319,1,1
96,222124,1,1
97,251284,1,1
98,244353,0,1
99,65739,0,1
100,62235,1,1
101,103270,1,1
102,45599,0,0
103,217440,1,0
104,98829,1,1
105,296985,0,1
106,309117,0,1
107,189773,0,1
108,258724,1,0
109,132666,1,0
110,117276,1,0
111,77888,0,1
112,8686,0,0
113,135584,1,1
114,341920,0,0
115,205787,0,0
116,195324,1,1
117,178349,0,1
118,15812,0,0
119,302509,0,0
120,278019,0,0
121,197625,1,1
122,367798,1,1
123,146326,0,0
124,91145,0,0
125,147143,1,1
126,48189,1,0
127,107118,1,1
128,284544,1,1
129,297415,0,0
130,267532,0,0
131,224370,1,1
132,275328,0,1
133,174663,0,0
134,231248,0,0
135,110362,0,0
136,291214,0,0
137,32132,0,0
138,179948,1,1
139,243720,1,1
140,16339,1,1
141,295113,1,0
142,64188,1,1
143,26908,0,0
144,255352,0,1
145,202470,0,1
146,172779,0,0
147,297268,1,1
148,260262,1,1
149,10051,0,0
150,63963,0,1
151,2913,1,1
152,162644,1,1
153,72287,1,1
154,307780,0,0
155,197723,1,1
156,76727,1,1
157,21517,0,0
158,275496,0,0
159,44501,0,0
160,326023,0,0
161,890,0,1
162,238196,0,1
163,330871,0,1
164,195970,1,1
165,155315,0,0
166,27993,1,1
167,335612,1,1
168,107212,0,0
169,230631,0,0
170,267260,1,0
171,354466,0,0
172,354939,0,1
173,112200,0,0
174,283958,0,0
175,32299,1,0
176,345543,0,0
177,96458,0,0
178,133361,1,1
179,350953,0,0
180,116046,0,0
181,338176,1,1
182,61610,0,0
183,223628,0,0
184,263071,0,1
185,86537,0,0
186,174316,1,1
187,15457,0,1
188,285321,0,0
189,63484,0,1
190,151215,1,1
191,323316,1,1
192,138673,0,0
193,221868,1,1
194,308341,1,1
195,53013,0,0
196,225931,1,0
197,245741,0,0
198,182647,0,0
199,145180,0,1
200,147499,0,0
201,69865,0,0
202,26052,1,0
203,223255,0,0
204,72616,0,0
205,330098,0,0
206,36295,0,0
207,372942,0,0
208,351508,0,0
209,189530,0,0
210,167355,0,0
211,81583,0,1
212,147417,0,0
213,339010,1,0
214,180814,1,1
215,166277,1,1
216,349039,1,0
217,111130,1,1
218,302415,1,0
219,199460,0,0
220,210747,0,1
221,84174,0,0
222,238,0,0
223,180879,1,1
224,312885,1,0
225,77635,1,1
226,112791,1,1
227,35717,0,0
228,297348,0,0
229,135574,0,0
230,344776,0,0
231,93197,0,1
232,319764,1,1
233,163827,0,0
234,310042,1,1
235,64920,1,1
236,324367,0,0
237,246984,0,0
238,234173,0,1
239,17812,1,1
240,89415,0,0
241,268950,1,0
242,90504,0,0
243,115714,1,1
244,18731,1,1
245,34270,0,0
246,43984,1,1
247,360734,1,0
248,262899,1,1
249,361856,1,1
250,363303,0,1
251,253435,1,1
252,356504,1,1
253,125226,0,0
254,338842,0,1
255,163562,1,1
256,346386,0,0
257,199203,1,1
258,3776,0,1
259,43486,0,0
260,32014,1,0
261,91402,1,1
262,110717,1,1
263,201616,1,1
264,78978,0,0
265,38671,0,0
266,350992,0,0
267,237909,0,0
268,273084,1,1
269,133260,0,1
270,153358,0,0
271,304445,1,1
272,326551,0,0
273,227850,0,0
274,131663,1,1
275,334728,1,1
276,6193,1,1
277,357471,1,1
278,134754,0,0
279,355428,0,1
280,222615,0,1
281,313581,0,0
282,153033,1,1
283,175220,0,0
284,330523,0,0
285,115173,1,1
286,145889,1,1
287,83976,0,0
288,129466,0,0
289,136658,0,0
290,331492,1,1
291,313476,0,0
292,241331,0,0
293,116870,0,1
294,351612,0,1
295,359714,0,0
296,250607,1,0
297,151340,1,1
298,24819,1,1
299,218843,1,1
300,278673,1,0
301,326508,1,0
302,48845,1,0
303,297186,0,1
304,349944,1,1
305,269342,1,1
306,131329,0,1
307,123232,0,0
308,90839,1,1
309,347875,1,1
310,66898,0,0
311,306334,0,0
312,240928,1,0
313,6306,0,0
314,280559,0,1
315,154943,0,0
316,94232,0,0
317,74450,1,1
318,182762,1,0
319,79089,0,1
320,126556,1,0
321,221302,0,0
322,50180,0,0
323,153275,1,1
324,230943,0,0
325,120288,0,0
326,202647,1,1
327,334433,1,1
328,234768,1,1
329,152292,1,1
330,272938,1,1
331,306964,1,0
332,120183,0,0
333,276462,0,0
334,27996,1,1
335,106823,0,0
336,81065,1,1
337,105727,0,0
338,102899,1,0
339,44824,0,0
340,363267,0,1
341,303762,1,1
342,87783,0,1
343,136589,1,1
344,44559,0,1
345,343294,1,0
346,163663,0,0
347,162056,0,0
348,21054,0,0
349,317586,1,1
350,345267,0,0
351,278817,0,0
352,364907,0,0
353,327437,1,1
354,91906,0,1
355,332098,0,0
356,74429,0,0
357,52851,1,1
358,231771,0,0
359,125131,0,1
360,350273,1,1
361,287054,0,0
362,71436,0,0
363,318511,0,0
364,217249,0,1
365,323262,1,1
366,245104,1,1
367,232339,0,0
368,41835,1,1
369,219879,0,0
370,302886,1,1
371,185041,1,0
